id,name,analyst,current_url,final_url,status_code,verdict,why,rss_feeds,ical_feeds,jsonld_events,sec_cik,suggested_action
57596,Con Edison,Gisela Pollanco,https://investor.conedison.com/press-releases?field_nir_news_date_value[min]=,https://investor.conedison.com/press-releases?field_nir_news_date_value[min]=,403,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
52365,Concentra,Rodrigo Maass,https://ir.concentra.com/news-events/ir-calendar,https://ir.concentra.com/news-events/ir-calendar,200,calendar-page,calendar/results keywords present,1,0,0,,use-rss
1911,Conduent,Agustin Maza,https://investor.conduent.com/,,0,fetch-error,timeout,0,0,0,0001677703,use-sec
57613,Conocophillips,Cata Rifo,https://www.conocophillips.com/investor-relations/investor-presentations/,https://www.conocophillips.com/investor-relations/investor-presentations/,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,0001163165,use-sec
57615,Consorcio Transmantaro,Maria Luisa Torres,https://peru.isaenergia.com/SitePages/App/Documentos.aspx?lang=en&mp=38&ms=40,https://peru.isaenergia.com/SitePages/App/Documentos.aspx?lang=en&mp=38&ms=40,502,non-ir-page,no IR/calendar signals,0,0,0,,replace-url
65315,Constellation Energy,Lucas Mateluna,https://www.constellation.com/,https://www.constellation.com/,200,non-ir-page,no IR/calendar signals,0,0,0,0001868275,use-sec
57620,Constellation Oil Services,Vicente Sánchez,https://ri.theconstellation.com/,https://ir.theconstellation.com/pt-br/,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
652,Constellium,Joss Smyth,https://www.constellium.com/investors/financial-results,https://www.constellium.com/investors/financial-results,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
972,Contour Global,Zoë Miller,https://www.contourglobal.com/financial-calendar-cg/,https://www.contourglobal.com/financial-calendar-cg/,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
57640,Controladora Mabe,Martina Pino,https://mabe.cc/Inversionistas/Home,https://mabe.cc/Inversionistas/Home,0,fetch-error,"TimeoutError: Page.goto: Timeout 20000ms exceeded.
Call log:
navigating to ""https://mabe.cc/In",0,0,0,,replace-url
2455,Cooper Standard,Bastián Miranda Olivares,https://ir.cooperstandard.com/events,https://ir.cooperstandard.com/events,200,calendar-page,calendar/results keywords present,1,0,0,0001320461,use-sec
2398,CoreCivic,Vicente Sánchez,https://ir.corecivic.com/,,0,fetch-error,timeout,0,0,0,0001070985,use-sec
6842,CoreWeave,Vicente Sánchez,https://investors.coreweave.com/overview/default.aspx,https://investors.coreweave.com/overview/default.aspx,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,0001769628,use-sec
57655,Corebridge Financial,Cata Rifo,https://investors.corebridgefinancial.com/events-and-presentations/default.aspx,https://investors.corebridgefinancial.com/events-and-presentations/default.aspx,200,calendar-page,calendar/results keywords present,0,0,0,0001889539,use-sec
2611,Cornerstone Building Brands,Oscar Carrasco,https://investors.cornerstonebuildingbrands.com/events-and-presentations/default.aspx,https://investors.cornerstonebuildingbrands.com/events-and-presentations/default.aspx,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
57674,Cosan,Oscar Carrasco,https://www.cosan.com.br/en/investor-relations/other-informations-for-investors/events-calendar/,https://www.cosan.com.br/en/investor-relations/other-informations-for-investors/events-calendar/,200,calendar-page,calendar/results keywords present,0,0,2,0001430162,use-sec
1229,Coty,Mateo Castro,https://investors.coty.com/news-events-and-presentations/events-and-presentations/default.aspx,https://investors.coty.com/news-events-and-presentations/events-and-presentations/default.aspx,200,calendar-page,calendar/results keywords present,0,0,0,0001024305,use-sec
67820,Council of Europe Development Bank (CEB),Jack Liew,https://coebank.org/en/investor-relations/,https://coebank.org/en/investor-relations/,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
1695,Credit Agricole,Kavithaasree Singaveloo,https://www.credit-agricole.com/en/finance/financial-calendar,https://www.credit-agricole.com/en/finance/financial-calendar,200,calendar-page,calendar/results keywords present,0,0,0,0001279967,use-sec
57720,Credit Mutuel Arkea,Kavithaasree Singaveloo,https://www.cm-arkea.com/arkea/banque/assurances/pa_26256/en/periodic-information,https://www.cm-arkea.com/arkea/banque/assurances/pa_26256/en/periodic-information,200,non-ir-page,no IR/calendar signals,0,0,0,,replace-url
57721,Credit Mutuel Home Loan SFH,Mateshvaran Prabakaran,https://www.creditmutuel-homeloansfh.eu/en/press-release-information.html,https://www.creditmutuel-homeloansfh.eu/en/press-release-information.html,200,non-ir-page,no IR/calendar signals,0,0,0,,replace-url
4228,Crescent Energy,Maria Luisa Torres,https://crescentenergyco.com/investors/events-and-presentations/default.aspx,https://crescentenergyco.com/investors/events-and-presentations/default.aspx,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,0001866175,use-sec
2444,Cumulus Media,Matias Fauré,https://www.cumulusmedia.com/about-us/newsroom/,https://www.cumulusmedia.com/about-us/newsroom/,200,non-ir-page,no IR/calendar signals,1,0,0,0001058623,use-sec
